,Unnamed: 0,$,AGR_OP,AGR_CP,COND_IF,COND_ELSE,AGR_OB,AGR_CB,INTERRUPTOR,CASO,ROMPER,PREDETERMINADO,CADA,ID,EOL,MNTRS,HAZ_MNTRS,EN,RANGO,OP_ASIG,CADENA,ENTERO,FLOTANTE,SIONO,VAL_CAD,VAL_SIONO,VAL_ENT,VAL_FLOT,ARI_PLUS,ARI_SUBS,ARI_MULT,ARI_DIV,OP_IGIG,OP_MAY,OP_MEN,OP_MAI,OP_MEI,OP_DIF,AND,OR,SLP,IMPR,LONGITUD
0,S,-,S ::= MAIN $,-,S ::= MAIN $,-,-,-,S ::= MAIN $,-,-,-,S ::= MAIN $,S ::= MAIN $,-,S ::= MAIN $,S ::= MAIN $,-,-,-,S ::= MAIN $,S ::= MAIN $,S ::= MAIN $,S ::= MAIN $,S ::= MAIN $,S ::= MAIN $,S ::= MAIN $,S ::= MAIN $,-,-,-,-,-,-,-,-,-,-,-,-,S ::= MAIN $,S ::= MAIN $,S ::= MAIN $
1,MAIN,-,MAIN ::= EXPR,-,MAIN ::= ESTRUCT,-,-,-,MAIN ::= ESTRUCT,-,-,-,MAIN ::= ESTRUCT,MAIN ::= EXPR,-,MAIN ::= ESTRUCT,MAIN ::= ESTRUCT,-,-,-,MAIN ::= ASIGN,MAIN ::= ASIGN,MAIN ::= ASIGN,MAIN ::= ASIGN,MAIN ::= EXPR,MAIN ::= EXPR,MAIN ::= EXPR,MAIN ::= EXPR,-,-,-,-,-,-,-,-,-,-,-,-,MAIN ::= ESTRUCT,MAIN ::= ESTRUCT,MAIN ::= ESTRUCT
2,EXPR,-,EXPR ::= AGR_OP EXPR AGR_CP V,-,-,-,-,-,-,-,-,-,-,EXPR ::= VALOR V,-,-,-,-,-,-,-,-,-,-,EXPR ::= VALOR V,EXPR ::= VALOR V,EXPR ::= VALOR V,EXPR ::= VALOR V,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,V,V ::= ε,-,V ::= ε,-,-,V ::= ε,V ::= ε,-,-,V ::= ε,-,-,-,V ::= ε,-,-,-,-,-,-,-,-,-,-,-,-,-,V ::= ARI_PS EXPR,V ::= ARI_PS EXPR,V ::= ARI_MD T X,V ::= ARI_MD T X,V ::= OPREL EXPR,V ::= OPREL EXPR,V ::= OPREL EXPR,V ::= OPREL EXPR,V ::= OPREL EXPR,V ::= OPREL EXPR,V ::= OPLOG T X,V ::= OPLOG T X,-,-,-
4,X,X ::= ε,-,X ::= ε,-,-,X ::= ε,X ::= ε,-,-,X ::= ε,-,-,-,X ::= ε,-,-,-,-,-,-,-,-,-,-,-,-,-,X ::= ARI_PS EXPR,X ::= ARI_PS EXPR,-,-,X ::= OPREL EXPR,X ::= OPREL EXPR,X ::= OPREL EXPR,X ::= OPREL EXPR,X ::= OPREL EXPR,X ::= OPREL EXPR,-,-,-,-,-
5,T,-,T ::= AGR_OP EXPR AGR_CP U,-,-,-,-,-,-,-,-,-,-,T ::= VALOR U,-,-,-,-,-,-,-,-,-,-,T ::= VALOR U,T ::= VALOR U,T ::= VALOR U,T ::= VALOR U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,U,U ::= ε,-,U ::= ε,-,-,U ::= ε,U ::= ε,-,-,U ::= ε,-,-,-,U ::= ε,-,-,-,-,-,-,-,-,-,-,-,-,-,U ::= ε,U ::= ε,U ::= ARI_MD T,U ::= ARI_MD T,U ::= ε,U ::= ε,U ::= ε,U ::= ε,U ::= ε,U ::= ε,U ::= OPLOG T,U ::= OPLOG T,-,-,-
7,ESTRUCT,-,-,-,ESTRUCT ::= COND,-,-,-,ESTRUCT ::= INTER,-,-,-,ESTRUCT ::= LOOP,-,-,ESTRUCT ::= LOOP,ESTRUCT ::= LOOP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ESTRUCT ::= LLAMA_AUX,ESTRUCT ::= LLAMA_AUX,ESTRUCT ::= LLAMA_AUX
8,COND,-,-,-,COND ::= COND_IF IF_CONTENT TEMP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,TEMP,TEMP ::= ε,-,-,-,TEMP ::= COND_ELSE CONTENT,-,TEMP ::= ε,-,-,TEMP ::= ε,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
